Gebühr,Höhe
Ausführliche und individuelle Führung durch den Makerspace durch die Gesamtleitung mit Meet the Makers / Meet the Projects für bis zu 25 Personen,
*Mobile Makerspace* (ganztägig) mit einem unserer Fahrzeuge und der Grundausstattung eines Makerspaces bei Dir vor Ort inkl. Betreuung und auf Wunsch kleiner Workshop durch zwei Teammitglieder des RUB-Makerspace,
Vortrag ca. 1-2h (bei Dir oder im Makerspace), x (Opt. + Außeneinsatz)
Workshop aus Standardprogramm halbtägig (bei Dir oder im Makerspace), x (Opt. + Außeneinsatz)
Workshop aus Standardprogramm ganztägig (bei Dir oder im Makerspace), x (Opt. + Außeneinsatz)
Betreuung von Werksstudent*Innen / überbetrieblichen Azubis / Praktikant*Innen o.Ä.,TBD
