Gebühr,Höhe
Miete Co-Working-Fläche EG halbtägig,
Miete Seminarraum / Creative Space / Erlaubnisraum / Projektraum 3 / Projektraum 4 halbtägig,
Miete Computerraum halbtägig,
Miete Groß-/Abendveranstaltung halbtägig,
Dauer-Anmietung Projektraum X und Projektraum Y als Büro oder Besprechungsraum für mind. 12 Monate,
Miete Küchenlabor halbtägig. Grundpreis inkl. Unterweisung . Je nach Details des Vorhabens sind ggf. Optionen wie Personal oder Workshops erforderlich.,
Miete Medienlabor/Studio halbtägig. Grundpreis inkl. Unterweisung. Je nach Details des Vorhabens sind ggf. Optionen wie Personal oder Workshops erforderlich.,
Miete Digitallabor halbtägig. Grundpreis inkl. Unterweisung und allg. Verbrauchsmaterial. Je nach Details des Vorhabens sind ggf. Optionen wie Personal oder Workshops erforderlich.,
Miete Kunststoffwerkstatt halbtägig. Grundpreis inkl. Unterweisung und allg. Verbrauchsmaterial. Mindestens Option Personal im Regelfall erforderlich. Details müssen individuell abgestimmt werden.,
