Gebühr,Höhe
Material X pro Einheit Y,
Plattenware HDF 3mm Stärke (100x70cm),10€
Plattenware MDF 6mm Stärke (100x70cm),18€
Plattenware Acryl XT transparent 1.5mm Stärke (100x70cm),28€
Plattenware als halbe Platte,halber Preis + 2€
3D-Ducker-Filament PLA (Spule mit 800g),22€
3D-Ducker-Filament PETG (Spule mit 800g),28€ (oder einpreisen in Minuten?)
Produkt aus dem Makerspace / Giveaway XYZ / Pokal / ...,TBD/schlaues Preismodell überlegen
