Gebühr,Höhe
Ausleihe von Geräten für hoheitliche Zwecke,kostenfrei
Ausleihe von Geräten für private Zwecke (je nach Kapazität),TBD / allg. Bearbeitungsgebühr / tagesweise?
Ausleihe Piaggio Ape halbtägig inkl. Unterweisung (beim Makerspace),
Ausleihe VW Crafter halbtägig inkl. Unterweisung (beim Makerspace) und Kraftstoff bis XXkm,
Kilometerpauschale Crafter bei Fahrten ab XXkm,
